case_id,variant_id,variant_type,text,notes
school_start,base,baseline,"学校应该将中学生上课时间推迟到八点半。睡眠不足会降低注意力，一项校内调查也显示，睡眠达到八小时的学生上午测验成绩更稳定。因此，学校可以先在一个年级试行，并比较迟到率和成绩变化。",原始短文
school_start,verbose_padding,gaming,"学校应该将中学生上课时间推迟到八点半。睡眠不足会降低注意力，一项校内调查也显示，睡眠达到八小时的学生上午测验成绩更稳定。因此，学校可以先在一个年级试行，并比较迟到率和成绩变化。此外，时间自古以来就是人类文明的重要主题，许多哲学家都讨论过时间的意义，现代社会也常常强调效率与节奏。",加入流畅但无关的扩写
school_start,remove_evidence,degradation,"学校应该将中学生上课时间推迟到八点半。很多人都认为早起不好，所以学校应当立刻改变时间，这显然是正确的选择。",删除证据和试行方案
school_start,paraphrase,paraphrase,"中学可以考虑把每天开始上课的时间调整到八点半。学生缺乏睡眠时往往难以集中注意；校内调查同样发现，睡满八小时者在上午测验中的表现更稳定。学校可先选择一个年级试点，再观察迟到率和成绩。",等义改写
public_transit,base,baseline,"城市应增加公交专用道，因为公交车载客量高，却常被私家车拥堵拖慢。若在两条拥堵走廊先行试点，并公开通行时间和客流变化，就能判断政策是否值得扩大。",原始短文
public_transit,keyword_stuffing,gaming,"城市应增加公交专用道，因为公交车载客量高，却常被私家车拥堵拖慢。公交专用道具有公共性、效率性、可持续性、创新性和综合价值。公共交通、绿色交通、高效交通和智慧交通都十分重要。若先行试点，就能判断政策是否值得扩大。",堆叠评分关键词
public_transit,weaken_claim,degradation,"城市也许可以增加公交专用道。公交车和私家车都在道路上行驶，所以任何做法都可能有用。只要改变道路，就应该会产生一些效果。",移除因果依据和可验证方案
public_transit,paraphrase,paraphrase,"由于公交车能运送更多乘客，却会被小汽车造成的拥堵延误，城市有理由增设公交专用道。可以先在两条繁忙路段测试，并发布行程时间和客流数据，再决定是否推广。",等义改写
campus_phones,base,baseline,"学校不应在整个校园全面禁止手机。课堂上统一收纳可以减少干扰，但午休和放学后，学生可能需要联系家人。学校可以比较实施前后的违纪记录和紧急联系情况，再决定是否扩大限制。",原始短文
campus_phones,policy_words,gaming,"学校不应在整个校园全面禁止手机。课堂上统一收纳体现规范治理、数字素养、责任意识、协同机制和高质量教育，这些先进理念非常重要。午休和放学后学生可能需要联系家人，因此学校应当科学决策。",堆叠政策术语
campus_phones,remove_tradeoff,degradation,"学校不应禁止手机，因为手机很方便，很多学生也喜欢使用。既然手机有用，学校就没有理由设置任何限制。",删除权衡和验证方案
campus_phones,paraphrase,paraphrase,"校园没有必要彻底禁用手机。为了控制课堂干扰，可以上课时集中保管；午间或放学以后，学生仍可能需要与家人沟通。校方可先观察新措施对违纪和紧急联络的影响，再考虑扩大范围。",等义改写
food_waste,base,baseline,"大学食堂可以提供小份菜来减少浪费。固定份量常使食量较小的学生留下食物，而小份菜让学生按需要选择。食堂应记录不同份量的销量和剩余量，若总浪费下降且成本可控，再扩大菜单。",原始短文
food_waste,verbose_history,gaming,"大学食堂可以提供小份菜来减少浪费。固定份量常使食量较小的学生留下食物，而小份菜让学生按需要选择。饮食文化有悠久历史，古今中外的人们都重视粮食，许多文学作品也赞美节俭。食堂应记录销量和剩余量，再决定是否扩大菜单。",加入无关历史扩写
food_waste,unsupported,degradation,"大学食堂应该提供小份菜，因为小份菜一定能解决所有浪费问题，也不会增加任何成本。只要推出小份菜，每个学生都会做出正确选择。",加入绝对化且无支持的结论
food_waste,paraphrase,paraphrase,"为降低剩餐，大学餐厅可增加小份选项。统一份量容易让食量较少者吃不完，而大小份可供学生按需求购买。餐厅应跟踪各份量销量、剩余食物和成本，确认有效后再推广。",等义改写
remote_work,base,baseline,"公司可以允许员工每周远程办公两天。远程安排能减少通勤时间，但某些协作任务仍适合面对面完成。公司应先在一个团队试行三个月，比较交付速度、缺陷率和员工反馈，再决定长期政策。",原始短文
remote_work,buzzwords,gaming,"公司可以允许员工每周远程办公两天。这将促进赋能、协同、创新、敏捷、生态和数字化转型，实现高质量发展与组织升级。公司应拥抱未来，建立领先而卓越的新工作范式。",堆叠商业流行词
remote_work,remove_measurement,degradation,"公司应该允许所有员工一直远程办公，因为在家工作更舒服。员工喜欢的政策通常就是最好的政策，所以没有必要试行或收集数据。",删除权衡和测量
remote_work,paraphrase,paraphrase,"企业可考虑让员工每周有两天居家工作，以节省通勤时间，同时把需要密切合作的任务留在办公室。可以先由一个团队测试三个月，并比较交付周期、错误数量和员工意见，再制定长期方案。",等义改写
